Rk,Player,Team,Salary,PlayerID
183,Zach Collins,SAS,$7350000,colliza01
184,Jaden Ivey,DET,$7252200,iveyja01
185,Patty Mills,BRK,$7073171,millspa02
186,Jae'Sean Tate,HOU,$7065217,tateja01
187,Isaac Okoro,CLE,$7040880,okorois01
188,Jalen Suggs,ORL,$6922320,suggsja01
189,Jaxson Hayes,NOP,$6803012,hayesja02
190,Khem Birch,TOR,$6667750,birchkh01
191,Bennedict Mathurin,IND,$6586800,mathube01
192,John Wall,LAC,$47345760,walljo01
193,Danilo Gallinari,BOS,$16907880,gallida01
194,Joe Ingles,MIL,$6479000,inglejo01
195,Lonnie Walker IV,LAL,$6479000,walkelo01
196,Bruce Brown,DEN,$6479000,brownbr01
197,Onyeka Okongwu,ATL,$6395160,okongon01
198,Caleb Martin,MIA,$6327160,martica02
199,Justin Holiday,ATL,$6292440,holidju01
200,Josh Giddey,OKC,$6287400,giddejo01
201,Rui Hachimura,WAS,$6263188,hachiru01
202,Rudy Gay,UTA,$6184500,gayru01
203,Shaedon Sharpe,POR,$6012960,sharpsh01
204,Cameron Payne,PHO,$6000000,payneca01
205,Otto Porter Jr.,TOR,$6000000,porteot01
206,Cam Reddish,NYK,$5954454,reddica01
207,Cameron Johnson,PHO,$5887899,johnsca02
208,Ricky Rubio,CLE,$5853659,rubiori01
209,Killian Hayes,DET,$5837760,hayeski01
210,P.J. Washington,CHO,$5808435,washipj01
211,Jonathan Kuminga,GSW,$5739960,kuminjo01
212,Pat Connaughton,MIL,$5728395,connapa01
213,Tyler Herro,MIA,$5722116,herroty01
214,Romeo Langford,SAS,$5634257,langfro01
215,Dyson Daniels,NOP,$5508600,daniedy01
216,JaVale McGee,DAL,$5461219,mcgeeja01
217,Obi Toppin,NYK,$5348280,toppiob01
218,Franz Wagner,ORL,$5258280,wagnefr01
219,Kendrick Nunn,LAL,$5250000,nunnke01
220,Hamidou Diallo,DET,$5200000,diallha01
221,Garrett Temple,NOP,$5155500,templga01
222,Cory Joseph,DET,$5155000,josepco01
223,Torrey Craig,PHO,$5121951,craigto01
224,Jeremy Sochan,SAS,$5063520,sochaje01
225,David Nwaba,HOU,$5022000,nwabada01
226,Nickeil Alexander-Walker,UTA,$5009633,alexani01
227,Furkan Korkmaz,PHI,$5000000,korkmfu01
228,Deni Avdija,WAS,$4916160,avdijde01
229,Davion Mitchell,SAC,$4833600,mitchda01
230,Johnny Davis,WAS,$4810320,davisjo06
231,Goga Bitadze,IND,$4765339,bitadgo01
232,Ish Smith,DEN,$4725000,smithis01
233,Dewayne Dedmon,MIA,$7566667,dedmode01
234,Jalen Smith,IND,$4670160,smithja04
235,Ziaire Williams,MEM,$4591920,willizi02
236,Ousmane Dieng,OKC,$4569840,diengou01
237,Maurice Harkless,ATL,$4564980,harklma01
238,Donte DiVincenzo,GSW,$4500000,divindo01
239,Jeff Green,DEN,$4500000,greenje02
240,Devin Vassell,SAS,$4437000,vassede01
241,Matisse Thybulle,PHI,$4379527,thybuma01
242,James Bouknight,CHO,$4362240,bouknja01
243,Brandon Clarke,MEM,$4343920,clarkbr01
244,Jalen Williams,OKC,$4341480,willija06
245,Jarred Vanderbilt,UTA,$4320000,vandeja01
246,Grant Williams,BOS,$4306281,willigr01
247,Darius Bazley,OKC,$4264629,bazleda01
248,Ty Jerome,OKC,$4220057,jeromty01
249,Tyrese Haliburton,IND,$4215120,halibty01
250,Nassir Little,POR,$4171548,littlna01
251,Joshua Primo,SAS,$4144320,primojo01
252,Jalen Duren,DET,$4124280,durenja01
253,Danuel House Jr.,PHI,$4105000,houseda01
254,Justise Winslow,POR,$4097561,winslju01
255,Dylan Windler,CLE,$4037278,windldy01
256,Kira Lewis Jr.,NOP,$4004280,lewiski01
257,Terence Davis,SAC,$4000000,daviste02
258,George Hill,MIL,$4000000,hillge01
259,Chris Duarte,IND,$3936960,duartch01
260,Jevon Carter,BRK,$6025000,carteje01
261,Alex Len,SAC,$3918600,lenal01
262,Ochai Agbaji,CLE,$3918360,agbajoc01
263,Jordan Poole,GSW,$3901399,poolejo01
264,Eric Bledsoe,POR,$3900000,bledser01
265,Keldon Johnson,SAS,$3873025,johnske04
266,Aaron Nesmith,IND,$3804360,nesmiaa01
267,Moses Moody,GSW,$3740160,moodymo01
268,Mark Williams,CHO,$3722040,willima07
269,Cole Anthony,ORL,$3613680,anthoco01
270,Corey Kispert,WAS,$3552960,kispeco01
271,AJ Griffin,ATL,$3536160,griffaj01
272,Boban Marjanović,HOU,$3500000,marjabo01
273,Mike Muscala,OKC,$3500000,muscami01
274,Georges Niang,PHI,$3465000,niangge01
275,Chuma Okeke,ORL,$3433320,okekech01
276,Isaiah Stewart,DET,$3433320,stewais01
277,Amir Coffey,LAC,$3395062,coffeam01
278,Alperen Şengün,HOU,$3375480,sengual01
279,Tari Eason,HOU,$3359160,easonta01
280,Trey Burke,HOU,$3300000,burketr01
281,Aleksej Pokusevski,OKC,$3261480,pokusal01
282,Andre Drummond,CHI,$3219512,drumman01
283,Kevin Porter Jr.,HOU,$3217631,porteke02
284,Trey Murphy III,NOP,$3206640,murphtr02
285,Dalen Terry,CHI,$3191400,terryda01
286,Derrick Jones Jr.,CHI,$3173077,jonesde02
287,Frank Jackson,DET,$3150000,jacksfr01
288,Josh Green,DAL,$3098400,greenjo02
289,Jake LaRavia,MEM,$3047640,laravja01
290,Tre Mann,OKC,$3046200,manntr01
291,Sterling Brown,HOU,$3000000,brownst02
292,Saddiq Bey,DET,$2959080,beysa01
293,Malaki Branham,SAS,$2925600,branhma01
294,Kai Jones,CHO,$2909160,joneska01
295,Bismack Biyombo,PHO,$2905851,biyombi01
296,Wesley Matthews,MIL,$2905851,matthwe02
297,DeAndre Jordan,DEN,$10733758,jordade01
298,Robin Lopez,CLE,$2905851,lopezro01
299,Dewayne Dedmon,DET,$7566667,dedmode01
300,Andrew Nicholson,POR,$2844430,nichoan01
301,Precious Achiuwa,TOR,$2840160,achiupr01
302,Christian Braun,DEN,$2808600,braunch01
303,Jalen Johnson,ATL,$2792520,johnsja05
